State  Code,District Code,Sub District Code,Geographic Subdivision,Name,Total/Rural/Urban,NV_Inhabited,NV_Uninhabited,Number of towns,Number of households,P_Total,P_Males,P_Females,Area(sq.km),Population per sq. km.
8.0,115,00583,SUB-DISTRICT,Ramsar,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
8.0,115,00584,SUB-DISTRICT,Chohtan,Total,426,1,0.0,83284.0,485344,255419,229925,4735.656064387154,102.0
8.0,115,00584,SUB-DISTRICT,Chohtan,Rural,426,1,0.0,83284.0,485344,255419,229925,4735.656064387154,102.0
8.0,115,00584,SUB-DISTRICT,Chohtan,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
8.0,116,00000,DISTRICT,Jalor,Total,791,10,4.0,326134.0,1828730,936634,892096,10640.0,172.0
8.0,116,00000,DISTRICT,Jalor,Rural,791,10,0.0,298074.0,1676975,857619,819356,10582.57,158.0
8.0,116,00000,DISTRICT,Jalor,Urban,0,0,4.0,28060.0,151755,79015,72740,57.43,2642.0
8.0,116,00585,SUB-DISTRICT,Sayla,Total,51,0,0.0,29097.0,176682,90131,86551,964.4431663400037,183.0
8.0,116,00585,SUB-DISTRICT,Sayla,Rural,51,0,0.0,29097.0,176682,90131,86551,964.4431663400037,183.0
8.0,116,00585,SUB-DISTRICT,Sayla,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
8.0,116,00586,SUB-DISTRICT,Ahore,Total,134,3,1.0,47890.0,239642,118980,120662,1887.301080785682,127.0
8.0,116,00586,SUB-DISTRICT,Ahore,Rural,134,3,0.0,44739.0,222775,110392,112383,1878.301080785682,119.0
8.0,116,00586,SUB-DISTRICT,Ahore,Urban,0,0,1.0,3151.0,16867,8588,8279,9.0,1874.0
8.0,116,00587,SUB-DISTRICT,Jalor,Total,73,1,1.0,48370.0,264423,135526,128897,1296.1585660419275,204.0
8.0,116,00587,SUB-DISTRICT,Jalor,Rural,73,1,0.0,37970.0,210342,107070,103272,1279.1685660419275,164.0
8.0,116,00587,SUB-DISTRICT,Jalor,Urban,0,0,1.0,10400.0,54081,28456,25625,16.99,3183.0
8.0,116,00588,SUB-DISTRICT,Bhinmal,Total,104,2,1.0,54534.0,302553,153244,149309,1626.6786885711826,186.0
8.0,116,00588,SUB-DISTRICT,Bhinmal,Rural,104,2,0.0,45682.0,254621,128388,126233,1611.2386885711826,158.0
8.0,116,00588,SUB-DISTRICT,Bhinmal,Urban,0,0,1.0,8852.0,47932,24856,23076,15.44,3104.0
8.0,116,00589,SUB-DISTRICT,Bagora,Total,58,0,0.0,25032.0,151141,78110,73031,845.622221662191,179.0
8.0,116,00589,SUB-DISTRICT,Bagora,Rural,58,0,0.0,25032.0,151141,78110,73031,845.622221662191,179.0
8.0,116,00589,SUB-DISTRICT,Bagora,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
8.0,116,00590,SUB-DISTRICT,Sanchore,Total,276,2,1.0,84405.0,487458,254057,233401,2996.414359876777,163.0
8.0,116,00590,SUB-DISTRICT,Sanchore,Rural,276,2,0.0,78748.0,454583,236942,217641,2980.414359876777,153.0
8.0,116,00590,SUB-DISTRICT,Sanchore,Urban,0,0,1.0,5657.0,32875,17115,15760,16.0,2055.0
8.0,116,00591,SUB-DISTRICT,Raniwara,Total,95,2,0.0,36806.0,206831,106586,100245,1023.4171026680224,202.0
8.0,116,00591,SUB-DISTRICT,Raniwara,Rural,95,2,0.0,36806.0,206831,106586,100245,1023.4171026680224,202.0
8.0,116,00591,SUB-DISTRICT,Raniwara,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
8.0,117,00000,DISTRICT,Sirohi,Total,470,7,9.0,201785.0,1036346,534231,502115,5136.0,202.0
8.0,117,00000,DISTRICT,Sirohi,Rural,470,7,0.0,159265.0,827692,424252,403440,5013.09,165.0
8.0,117,00000,DISTRICT,Sirohi,Urban,0,0,9.0,42520.0,208654,109979,98675,122.91,1698.0
8.0,117,00592,SUB-DISTRICT,Sheoganj,Total,70,1,1.0,29077.0,142329,73042,69287,884.4683684088259,161.0
8.0,117,00592,SUB-DISTRICT,Sheoganj,Rural,70,1,0.0,23562.0,114276,58440,55836,879.4083684088259,130.0
8.0,117,00592,SUB-DISTRICT,Sheoganj,Urban,0,0,1.0,5515.0,28053,14602,13451,5.06,5544.0
8.0,117,00593,SUB-DISTRICT,Sirohi,Total,84,2,2.0,37936.0,186079,94753,91326,1175.0673753927028,158.0
8.0,117,00593,SUB-DISTRICT,Sirohi,Rural,84,2,0.0,28438.0,141122,71175,69947,1144.8773753927028,123.0
8.0,117,00593,SUB-DISTRICT,Sirohi,Urban,0,0,2.0,9498.0,44957,23578,21379,30.19,1489.0
8.0,117,00594,SUB-DISTRICT,Pindwara,Total,107,1,2.0,50311.0,261686,134882,126804,1112.843679019635,235.0
8.0,117,00594,SUB-DISTRICT,Pindwara,Rural,107,1,0.0,42295.0,221887,114090,107797,1088.843679019635,204.0
8.0,117,00594,SUB-DISTRICT,Pindwara,Urban,0,0,2.0,8016.0,39799,20792,19007,24.0,1658.0
8.0,117,00595,SUB-DISTRICT,Abu Road,Total,82,3,3.0,43041.0,224404,116769,107635,878.8135587150489,255.0
8.0,117,00595,SUB-DISTRICT,Abu Road,Rural,82,3,0.0,25232.0,136676,69911,66765,827.8835587150489,165.0
8.0,117,00595,SUB-DISTRICT,Abu Road,Urban,0,0,3.0,17809.0,87728,46858,40870,50.93,1723.0
8.0,117,00596,SUB-DISTRICT,Reodar,Total,127,0,1.0,41420.0,221848,114785,107063,1084.8087125782442,205.0
8.0,117,00596,SUB-DISTRICT,Reodar,Rural,127,0,0.0,39738.0,213731,110636,103095,1072.0787125782442,199.0
8.0,117,00596,SUB-DISTRICT,Reodar,Urban,0,0,1.0,1682.0,8117,4149,3968,12.73,638.0
8.0,118,00000,DISTRICT,Pali,Total,1017,13,11.0,418157.0,2037573,1025422,1012151,12387.0,164.0
8.0,118,00000,DISTRICT,Pali,Rural,1017,13,0.0,329510.0,1577567,787559,790008,11948.58,132.0
8.0,118,00000,DISTRICT,Pali,Urban,0,0,11.0,88647.0,460006,237863,222143,438.42,1049.0
8.0,118,00597,SUB-DISTRICT,Jaitaran,Total,108,5,1.0,46753.0,226776,114008,112768,1378.9085258595635,164.0
8.0,118,00597,SUB-DISTRICT,Jaitaran,Rural,108,5,0.0,42692.0,204155,102462,101693,1341.2585258595634,152.0
8.0,118,00597,SUB-DISTRICT,Jaitaran,Urban,0,0,1.0,4061.0,22621,11546,11075,37.65,601.0
8.0,118,00598,SUB-DISTRICT,Raipur,Total,137,4,0.0,43600.0,205254,103005,102249,1100.9209662206936,186.0
8.0,118,00598,SUB-DISTRICT,Raipur,Rural,137,4,0.0,43600.0,205254,103005,102249,1100.9209662206936,186.0
8.0,118,00598,SUB-DISTRICT,Raipur,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
8.0,118,00599,SUB-DISTRICT,Sojat,Total,123,0,2.0,46765.0,220854,110702,110152,1713.9655530931307,129.0
8.0,118,00599,SUB-DISTRICT,Sojat,Rural,123,0,0.0,35608.0,165359,82056,83303,1683.3955530931307,98.0
8.0,118,00599,SUB-DISTRICT,Sojat,Urban,0,0,2.0,11157.0,55495,28646,26849,30.57,1815.0
8.0,118,00600,SUB-DISTRICT,Rohat,Total,79,0,0.0,22288.0,120963,62111,58852,1429.834449674941,85.0
8.0,118,00600,SUB-DISTRICT,Rohat,Rural,79,0,0.0,22288.0,120963,62111,58852,1429.834449674941,85.0
8.0,118,00600,SUB-DISTRICT,Rohat,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
8.0,118,00601,SUB-DISTRICT,Pali,Total,101,2,1.0,72248.0,368386,189551,178835,1657.1455695097764,222.0
8.0,118,00601,SUB-DISTRICT,Pali,Rural,101,2,0.0,28438.0,138311,69627,68684,1498.1455695097764,92.0
8.0,118,00601,SUB-DISTRICT,Pali,Urban,0,0,1.0,43810.0,230075,119924,110151,159.0,1447.0
8.0,118,00602,SUB-DISTRICT,Marwar Junction,Total,156,0,1.0,44014.0,198978,98255,100723,1399.0543597755056,142.0
8.0,118,00602,SUB-DISTRICT,Marwar Junction,Rural,156,0,0.0,41495.0,186974,92083,94891,1385.9743597755057,135.0
8.0,118,00602,SUB-DISTRICT,Marwar Junction,Urban,0,0,1.0,2519.0,12004,6172,5832,13.08,918.0
8.0,118,00603,SUB-DISTRICT,Desuri,Total,136,0,2.0,48895.0,234337,115721,118616,1321.0178400608622,177.0
8.0,118,00603,SUB-DISTRICT,Desuri,Rural,136,0,0.0,40800.0,193067,94829,98238,1227.4978400608622,157.0
8.0,118,00603,SUB-DISTRICT,Desuri,Urban,0,0,2.0,8095.0,41270,20892,20378,93.52,441.0
8.0,118,00604,SUB-DISTRICT,Sumerpur,Total,66,2,2.0,40761.0,198125,99282,98843,970.5031992911722,204.0
8.0,118,00604,SUB-DISTRICT,Sumerpur,Rural,66,2,0.0,30566.0,144303,71493,72810,937.2031992911723,154.0
8.0,118,00604,SUB-DISTRICT,Sumerpur,Urban,0,0,2.0,10195.0,53822,27789,26033,33.3,1616.0
8.0,118,00605,SUB-DISTRICT,Bali,Total,111,0,2.0,52833.0,263900,132787,131113,1415.634651362672,186.0
8.0,118,00605,SUB-DISTRICT,Bali,Rural,111,0,0.0,44023.0,219181,109893,109288,1344.334651362672,163.0
8.0,118,00605,SUB-DISTRICT,Bali,Urban,0,0,2.0,8810.0,44719,22894,21825,71.3,627.0
8.0,119,00000,DISTRICT,Ajmer,Total,1099,12,11.0,494832.0,2583052,1324085,1258967,8481.0,305.0
8.0,119,00000,DISTRICT,Ajmer,Rural,1099,12,0.0,293744.0,1547642,789397,758245,8091.33,191.0
8.0,119,00000,DISTRICT,Ajmer,Urban,0,0,11.0,201088.0,1035410,534688,500722,389.67,2657.0
8.0,119,00606,SUB-DISTRICT,Kishangarh,Total,171,4,1.0,74837.0,418231,215138,203093,1714.646874382467,244.0
8.0,119,00606,SUB-DISTRICT,Kishangarh,Rural,171,4,0.0,46484.0,263345,135114,128231,1669.156874382467,158.0
8.0,119,00606,SUB-DISTRICT,Kishangarh,Urban,0,0,1.0,28353.0,154886,80024,74862,45.49,3405.0
8.0,119,00607,SUB-DISTRICT,Ajmer,Total,85,0,4.0,156701.0,798454,410711,387743,897.0568796596239,890.0
8.0,119,00607,SUB-DISTRICT,Ajmer,Rural,85,0,0.0,40439.0,220616,113633,106983,630.8668796596239,350.0
8.0,119,00607,SUB-DISTRICT,Ajmer,Urban,0,0,4.0,116262.0,577838,297078,280760,266.19,2171.0
8.0,119,00608,SUB-DISTRICT,Peesangan,Total,64,0,0.0,23968.0,127803,65075,62728,653.8438214806225,195.0
8.0,119,00608,SUB-DISTRICT,Peesangan,Rural,64,0,0.0,23968.0,127803,65075,62728,653.8438214806225,195.0
8.0,119,00608,SUB-DISTRICT,Peesangan,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
8.0,119,00609,SUB-DISTRICT,Beawar,Total,222,1,1.0,68739.0,342935,174082,168853,687.4061863534264,499.0
8.0,119,00609,SUB-DISTRICT,Beawar,Rural,222,1,0.0,39779.0,191783,96466,95317,662.2361863534264,290.0
8.0,119,00609,SUB-DISTRICT,Beawar,Urban,0,0,1.0,28960.0,151152,77616,73536,25.17,6005.0
8.0,119,00610,SUB-DISTRICT,Masuda,Total,158,3,2.0,43609.0,224181,114787,109394,874.7891425205913,256.0
8.0,119,00610,SUB-DISTRICT,Masuda,Rural,158,3,0.0,36356.0,185713,95202,90511,856.8991425205913,217.0
8.0,119,00610,SUB-DISTRICT,Masuda,Urban,0,0,2.0,7253.0,38468,19585,18883,17.89,2150.0
8.0,119,00611,SUB-DISTRICT,Nasirabad,Total,90,0,1.0,33865.0,187486,98470,89016,775.2947771853605,242.0
8.0,119,00611,SUB-DISTRICT,Nasirabad,Rural,90,0,0.0,24787.0,136682,69889,66793,752.3647771853606,182.0
8.0,119,00611,SUB-DISTRICT,Nasirabad,Urban,0,0,1.0,9078.0,50804,28581,22223,22.93,2216.0
8.0,119,00612,SUB-DISTRICT,Bhinay,Total,95,0,0.0,23916.0,126466,64154,62312,820.5458890333342,154.0
8.0,119,00612,SUB-DISTRICT,Bhinay,Rural,95,0,0.0,23916.0,126466,64154,62312,820.5458890333342,154.0
8.0,119,00612,SUB-DISTRICT,Bhinay,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
8.0,119,00613,SUB-DISTRICT,Sarwar,Total,112,2,1.0,28507.0,154738,78736,76002,1051.344191108273,147.0
8.0,119,00613,SUB-DISTRICT,Sarwar,Rural,112,2,0.0,24902.0,134366,68268,66098,1046.344191108273,128.0
8.0,119,00613,SUB-DISTRICT,Sarwar,Urban,0,0,1.0,3605.0,20372,10468,9904,5.0,4074.0
8.0,119,00614,SUB-DISTRICT,Kekri,Total,102,2,1.0,40690.0,202758,102932,99826,1006.0619645833469,202.0
8.0,119,00614,SUB-DISTRICT,Kekri,Rural,102,2,0.0,33113.0,160868,81596,79272,999.0619645833469,161.0
8.0,119,00614,SUB-DISTRICT,Kekri,Urban,0,0,1.0,7577.0,41890,21336,20554,7.0,5984.0
8.0,120,00000,DISTRICT,Tonk,Total,1116,67,8.0,266870.0,1421326,728136,693190,7194.0,198.0
8.0,120,00000,DISTRICT,Tonk,Rural,1116,67,0.0,212126.0,1103603,568045,535558,6952.13,159.0
8.0,120,00000,DISTRICT,Tonk,Urban,0,0,8.0,54744.0,317723,160091,157632,241.87,1314.0
8.0,120,00615,SUB-DISTRICT,Malpura,Total,153,7,1.0,45047.0,240909,123625,117284,1490.3208045054396,162.0
8.0,120,00615,SUB-DISTRICT,Malpura,Rural,153,7,0.0,38795.0,204881,105020,99861,1428.8908045054395,143.0
8.0,120,00615,SUB-DISTRICT,Malpura,Urban,0,0,1.0,6252.0,36028,18605,17423,61.43,586.0
8.0,120,00616,SUB-DISTRICT,Peeplu,Total,118,8,0.0,21913.0,117644,60740,56904,692.398110297259,170.0
8.0,120,00616,SUB-DISTRICT,Peeplu,Rural,118,8,0.0,21913.0,117644,60740,56904,692.398110297259,170.0
8.0,120,00616,SUB-DISTRICT,Peeplu,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
8.0,120,00617,SUB-DISTRICT,Niwai,Total,204,5,2.0,43146.0,245787,123624,122163,980.1556530351804,251.0
8.0,120,00617,SUB-DISTRICT,Niwai,Rural,204,5,0.0,35135.0,195187,101301,93886,925.1056530351805,211.0
8.0,120,00617,SUB-DISTRICT,Niwai,Urban,0,0,2.0,8011.0,50600,22323,28277,55.05,919.0
8.0,120,00618,SUB-DISTRICT,Tonk,Total,124,8,1.0,52585.0,286808,147398,139410,813.8556304990658,352.0
8.0,120,00618,SUB-DISTRICT,Tonk,Rural,124,8,0.0,23487.0,121514,62592,58922,753.3556304990658,161.0
8.0,120,00618,SUB-DISTRICT,Tonk,Urban,0,0,1.0,29098.0,165294,84806,80488,60.5,2732.0
8.0,120,00619,SUB-DISTRICT,Todaraisingh,Total,139,9,1.0,27639.0,146870,74878,71992,999.7502602314579,147.0
8.0,120,00619,SUB-DISTRICT,Todaraisingh,Rural,139,9,0.0,23681.0,123311,62849,60462,945.6102602314579,130.0
8.0,120,00619,SUB-DISTRICT,Todaraisingh,Urban,0,0,1.0,3958.0,23559,12029,11530,54.14,435.0
8.0,120,00620,SUB-DISTRICT,Deoli,Total,169,17,1.0,43632.0,214408,110648,103760,1225.8921509069717,175.0
8.0,120,00620,SUB-DISTRICT,Deoli,Rural,169,17,0.0,39859.0,192343,98637,93706,1222.1421509069717,157.0
8.0,120,00620,SUB-DISTRICT,Deoli,Urban,0,0,1.0,3773.0,22065,12011,10054,3.75,5884.0
8.0,120,00621,SUB-DISTRICT,Uniara,Total,209,13,2.0,32908.0,168900,87223,81677,991.6178239996519,170.0
8.0,120,00621,SUB-DISTRICT,Uniara,Rural,209,13,0.0,29256.0,148723,76906,71817,984.6178239996519,151.0
8.0,120,00621,SUB-DISTRICT,Uniara,Urban,0,0,2.0,3652.0,20177,10317,9860,7.0,2882.0
8.0,121,00000,DISTRICT,Bundi,Total,867,6,9.0,220768.0,1110906,577160,533746,5776.0,192.0
8.0,121,00000,DISTRICT,Bundi,Rural,867,6,0.0,177150.0,888205,461734,426471,5596.31,159.0
8.0,121,00000,DISTRICT,Bundi,Urban,0,0,9.0,43618.0,222701,115426,107275,179.69,1239.0
8.0,121,00622,SUB-DISTRICT,Hindoli,Total,184,0,0.0,45311.0,221601,115099,106502,1355.7595725758458,163.0
8.0,121,00622,SUB-DISTRICT,Hindoli,Rural,184,0,0.0,44990.0,219968,114242,105726,1354.179572575846,162.0
8.0,121,00622,SUB-DISTRICT,Hindoli,Urban,0,0,0.0,321.0,1633,857,776,1.58,1034.0
